file	segment	sent	Prompt	Thesis	dim3	dim4_Syntax	dim5
2020_MLa_100_2.docx	Introductory material	There is an opinion that watching sports on telly or visiting sports events on stadiums is killing the time that could be used for better things.	H	H	H	0	H
2020_MLa_100_2.docx	Thesis	In my opinion, there is some truth in it, but I cannot fully agree as well.	H	H	H	1. H, 2. H	H
2020_MLa_100_2.docx	Argument	First of all, I'll try to explain why I think watching sport is good for some people.	H	H	H	0	L
2020_MLa_100_2.docx	Elaboration	All of us have their leisure time and there is no secret that a lot of us like some kind of sport activity.	H	H	H	1. L, 2. H	H
2020_MLa_100_2.docx	Elaboration	Therefore, when you have nothing to do or you want to rest for some time, it may be useful to watch your favourite sport, look at the professionals and their skill level.	H	H	H	1. H, 2. H, 3. H, 4. H	H
2020_MLa_100_2.docx	Elaboration	It may even be a motivator for somebody to start working on themselves and to become a better specialist in the things they do.	H	H	H	1. H, 2. H	H
2020_MLa_100_2.docx	Elaboration	Moreover, professional sports are estetically attractive: athletes on their peak compete for the prize and try to become a legacy.	H	H	L	1. L, 2. L, 3. H	L
2020_MLa_100_2.docx	Elaboration	One more fun thing about watching sports is that you can go to live sport events with your friends and have a great time, it is a brilliant possibility to see your favorite sportsmen and enjoy the crowd.	H	H	H	1. L, 2. H, 3. H, 4. H	H
2020_MLa_100_2.docx	Argument	Secondly, it is important to notice that watching sports can really become a struggle for someone.	H	H	H	0	H
2020_MLa_100_2.docx	Elaboration	For example, a lot of people in our country watch sports only as a reason to drink a bottle of beer or just to escape from their home duties.	H	H	H	1. H, 2. H	H
2020_MLa_100_2.docx	Elaboration	These habits are bad and soon convert into a system of alcohol addiction and loosing interest in the basic process of watching.	H	H	H	1. H, 2. H	H
2020_MLa_100_2.docx	Argument	Also, there is one more bad thing you can be dragged into watching sports - it is bets.	H	H	H	1. L, 2. H	L
2020_MLa_100_2.docx	Elaboration	If you cannot control your passion, it is better for you not to invest money in something like this, because you can easilly loose a lot if you will not notice that it is time to stop.	H	H	L	1. L, 2. H, 3. H, 4. H	L
2020_MLa_100_2.docx	Conclusion	In conclusion, I would like to say that even if sometimes it can be useful to watch sports and have a good time, it may become a harmfull experience for you if you get dragged into it too much.	H	H	H	1. 0, 2. H, 3. H, 4. H	L
2020_MLa_101_2.docx	Thesis	One question that caused a great deal of contoroversy over the years is that watching any kind of sports is useless.	H	H	H	0	H
2020_MLa_101_2.docx	Thesis	Altough, in my opinion, it is a good way to vary your free time.	H	H	H	H	L
2020_MLa_101_2.docx	Argument	The strongest reason in supporting my point of view is that sports is one of the most popular hobbies that helps people not only to spend their time efficiently but also be healthy and keep fit.	H	H	L	1. H, 2. H, 3. H, 4. H	L
2020_MLa_101_2.docx	Elaboration	Unfortunately, many people are afraid of taking up such hobby because they think that there is a small chance that they can succeed in it.	L	L	H	1. H, 2. H	L
2020_MLa_101_2.docx	Elaboration	However, a simple watching of different kinds of sports can inspire a person to start making some changes in his/her life and help him/her to understand what sport he/she is up to.	H	H	L	1. H, 2. H	L
2020_MLa_101_2.docx	Argument	The other compelling reason is that watching sports is important for professional sportsmen as well as those who have just overcome their fears and just begun their sports paths.	H	H	H	1. 0, 2. H	H
2020_MLa_101_2.docx	Elaboration	While watching, they can see the mistakes of their competitors and then work on them to be better next time.	H	H	H	1. H, 2. H	L
2020_MLa_101_2.docx	Elaboration	Speaking about beginners, watching professionals is important for them because if they start doing sports themselves, they have to know how to do everything right in this or that situation.	H	H	H	1. L, 2. H, 3. H	H
2020_MLa_101_2.docx	Conclusion	In conclusion, there is no doubt that many people just spend money and time getting nothing in return but I believe that it is also wise to take into account the fact that this is one of the ways to spend your free time.	H	H	H	1. 0, 2. H	L
2020_MLa_101_2.docx	Conclusion	Personally i do not see anything bad in spending it this way.	H	H	L	H	H
2020_MLa_101_2.docx	Conclusion	The person who watches sports either was into sports in the childhood or is just not ready to achieve the heights.	L	L	L	1. L, 2. H, 3. H	L
2020_MLa_102_2.docx	Thesis	The popular beleif is that such activity is a real waste of time.	H	H	H	0	H
2020_MLa_102_2.docx	Thesis	I partially agree with this statement.	H	H	H	H	L
2020_MLa_102_2.docx	Argument	There are some arguments for unnecessarity of watching sports.	H	H	H	0	L
2020_MLa_102_2.docx	Argument	The first of these is that people don't get any usefull information from it.	H	H	H	H	L
2020_MLa_102_2.docx	Argument	Unfortunatelly, watching sports doesn't teach us anything and people don't get any information about the surrounding world from it.	H	H	H	1. H, 2. H	L
2020_MLa_102_2.docx	Elaboration	It would be better, for example, to go to the library or watch some scientific channeles.	H	H	H	1. L, 2. H	L
2020_MLa_102_2.docx	Argument	Another argument is that if a person begin to watch sports on TV quite often, he starts to lead sedentary lifestyle.	H	H	L	1. L, 2. H	L
2020_MLa_102_2.docx	Elaboration	For example, while doing such activity, people usually lie down on sofas eating some food.	H	H	H	L	H
